journal_name,subject_area,print_number,online_number,journal_link
Aurora: papeles del Seminario María Zambrano,"Language and Literature
Philosophy. Psychology. Religion",1575-5045,2014-9107,https://doaj.org/toc/1575-5045
Клиническая и специальная психология                            Clinical Psychology and Special Education,Medicine,,2304-0394,https://doaj.org/toc/2304-0394
Diversidade Religiosa                            Diversidade Religiosa: Revista Discente do PPGCR-UFPB,"Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Religion (General)
Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Philosophy of religion. Psychology of religion. Religion in relation to other subjects",,2317-0476,https://doaj.org/toc/2317-0476
Jounal of Negative and No Positive Results,"Medicine
Science",,2529-850X,https://doaj.org/toc/2529-850X
Journal of Portuguese Linguistics                          ,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,,2397-5563,https://doaj.org/toc/2397-5563
Laboratory Phonology                            Journal of the Association for Laboratory Phonology,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,,1868-6354,https://doaj.org/toc/1868-6354
Outra Travessia,Language and Literature: Literature (General),1807-5002,2176-8552,https://doaj.org/toc/1807-5002
Cadernos de Letras da UFF,"Language and Literature: Philology. Linguistics
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",1413-053X,2447-4207,https://doaj.org/toc/1413-053X
Transplantation Direct                            TXD,Medicine: Surgery,,2373-8731,https://doaj.org/toc/2373-8731
Revista de Políticas Públicas,Political science: Political institutions and public administration (General),0104-8740,2178-2865,https://doaj.org/toc/0104-8740
Working Papers em Linguística,Language and Literature: Philology. Linguistics,1415-1464,1984-8420,https://doaj.org/toc/1415-1464
Revista de Humanidades de Valparaíso,Philosophy. Psychology. Religion: Philosophy (General),0719-4234,0719-4242,https://doaj.org/toc/0719-4234
Acta Medica Medianae,Medicine,0365-4478,1821-2794,https://doaj.org/toc/0365-4478
Extensión en Red,"Language and Literature: Philology. Linguistics: Communication. Mass media
Social Sciences: Social sciences (General)",,1852-9569,https://doaj.org/toc/1852-9569
Fórum Linguístico,Language and Literature: Philology. Linguistics,1415-8698,1984-8412,https://doaj.org/toc/1415-8698
Galician Medical Journal                          ,Medicine,2306-4285,2414-1518,https://doaj.org/toc/2306-4285
Passagens                            Passagens: Revista Internacional de História Política e Cultura Jurídica,"Law: Law in general. Comparative and uniform law. Jurisprudence
Political science: Political science (General)",,1984-2503,https://doaj.org/toc/1984-2503
Strategic Public Management Journal,Political science: Political institutions and public administration (General),,2149-9543,https://doaj.org/toc/2149-9543
Intercâmbio                            Revista Intercâmbio,"Language and Literature: Romanic languages
Language and Literature: Philology. Linguistics",1413-4055,2237-759X,https://doaj.org/toc/1413-4055
Scripta Uniandrade,"Language and Literature: Philology. Linguistics
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",1679-5520,,https://doaj.org/toc/1679-5520
Cuadernos de Lingüística Hispánica,"Language and Literature: Romanic languages
Language and Literature: Philology. Linguistics",0121-053X,2346-1829,https://doaj.org/toc/0121-053X
پژوهش نامه معارف قرآنی                            Qur'anic Knowledge,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",2008-9252,2538-2012,https://doaj.org/toc/2008-9252
Ravānshināsī-i Afrād-i Istis̠nāyī                            Psychology of Exceptional Individuals,Philosophy. Psychology. Religion: Psychology,2252-0031,2476-647X,https://doaj.org/toc/2252-0031
Faṣlnāmah-i Farhang Mushavirah va Ravān/Darmānī                            Counselling Culture and Psychotherapy,Philosophy. Psychology. Religion: Psychology,2345-6051,2476-6178,https://doaj.org/toc/2345-6051
Matn/Pizhūhī-i Adabī                            Literary Text Research,"Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar: Discourse analysis
Language and Literature: Literature (General)",2251-7138,2476-6186,https://doaj.org/toc/2251-7138
Faṣlnāmah-i Pizhūhish-i Huqūq-i Khuṣūṣī                            Private Law Research,Law: Law in general. Comparative and uniform law. Jurisprudence: Private international law. Conflict of laws,2345-3583,2476-6232,https://doaj.org/toc/2345-3583
Faṣlnāmah-i Pizhūhish-i Huqūq-i Kiyfarī                            Criminal Law,Law: Law in general. Comparative and uniform law. Jurisprudence: Comparative law. International uniform law: Criminal law and procedure,2345-3575,2476-6224,https://doaj.org/toc/2345-3575
̒Ilm-i Zabān                            Language Science,Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar,2423-7728,2538-2551,https://doaj.org/toc/2423-7728
Faṣlnāmah-i Pizhūhish/hā-yi Rāhburdī-i Siyāsat                            Strategic Research of Politics,Political science: Political science (General),2345-6140,2476-6208,https://doaj.org/toc/2345-6140
Cuadernos de Información y Comunicación,Language and Literature: Philology. Linguistics: Communication. Mass media,1135-7991,1988-4001,https://doaj.org/toc/1135-7991
NOVA,"Medicine: Medicine (General)
Science: Biology (General)",1794-2470,,https://doaj.org/toc/1794-2470
Faṣlnāmah-i Pizhūhish-i Huqūq-i ̒Umūmī                            Quarterly Journal of Public Law,Law: Islamic law,2345-6116,2476-6216,https://doaj.org/toc/2345-6116
Brazilian Dental Journal,Medicine: Dentistry,0103-6440,1806-4760,https://doaj.org/toc/0103-6440
Cadernos Nietzsche,Philosophy. Psychology. Religion: Philosophy (General): By period: Modern,1413-7755,2316-8242,https://doaj.org/toc/1413-7755
Soletras Revista                            Soletras,"Language and Literature: Philology. Linguistics
Language and Literature: Literature (General)",,2316-8838,https://doaj.org/toc/2316-8838
Hrvatska Revija za Rehabilitacijska Istraživanja                            Croatian Review of Rehabilitation Research,Medicine: Public aspects of medicine,1331-3010,1848-7734,https://doaj.org/toc/1331-3010
Beyhagh                            Journal of Student Research Committee,Medicine: Medicine (General),2008-0328,2423-8104,https://doaj.org/toc/2008-0328
Jurnal Studi Agama dan Masyarakat,"Philosophy. Psychology. Religion: Islam. Bahai Faith. Theosophy, etc.: Islam",1829-8257,2540-8232,https://doaj.org/toc/1829-8257
Perspectivas en Nutrición Humana,"Technology: Home economics: Nutrition. Foods and food supply
Medicine: Public aspects of medicine",0124-4108,2248-454X,https://doaj.org/toc/0124-4108
Revista Argentina de Estudios de Juventud,"Language and Literature: Philology. Linguistics: Communication. Mass media
Social Sciences: Social history and conditions. Social problems. Social reform
Social Sciences: Social sciences (General)",,1852-4907,https://doaj.org/toc/1852-4907
Psihologie                            Psychology,Philosophy. Psychology. Religion: Psychology,1857-2502,2537-6276,https://doaj.org/toc/1857-2502
Perinatal Journal,"Medicine: Pediatrics
Medicine: Gynecology and obstetrics",,1305-3124,https://doaj.org/toc/1305-3124
Journal of Indian Association of Public Health Dentistry,Medicine: Dentistry,2319-5932,2350-0484,https://doaj.org/toc/2319-5932
Journal of Obstetric Anaesthesia and Critical Care,"Medicine: Surgery: Anesthesiology
Medicine: Gynecology and obstetrics",2249-4472,2249-9539,https://doaj.org/toc/2249-4472
Balkan Journal of Dental Medicine,Medicine: Dentistry,,2335-0245,https://doaj.org/toc/2335-0245
Linchuang Gandanbing Zazhi                            Chinese Journal of Clinical Hepatology,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the digestive system. Gastroenterology,1001-5256,,https://doaj.org/toc/1001-5256
Zbornik Znanstvenih Razprav,Law,1854-3839,,https://doaj.org/toc/1854-3839
Caletroscópio,"Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar: Translating and interpreting
Language and Literature: Literature (General)",,2318-4574,https://doaj.org/toc/2318-4574
Infection Epidemiology and Medicine,Medicine: Internal medicine: Infectious and parasitic diseases,2322-2298,2345-4946,https://doaj.org/toc/2322-2298
Ellīniko Periodiko tīs Nosīleutikīs Epistīmīs                            Hellenic Journal of Nursing Science,Medicine: Nursing,1791-9002,2459-2994,https://doaj.org/toc/1791-9002
Diametros                            Diametros – An Online Journal of Philosophy,Philosophy. Psychology. Religion,,1733-5566,https://doaj.org/toc/1733-5566
Journal of Pathology and Translational Medicine,Medicine: Pathology,2383-7837,2383-7845,https://doaj.org/toc/2383-7837
Payesh                            Health Monitor,Medicine: Medicine (General),1680-7626,2008-4536,https://doaj.org/toc/1680-7626
Portuguese Review of Mental Health Nursing                            Revista Portuguesa de Enfermagem de Saúde Mental,"Medicine: Nursing
Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry",1647-2160,,https://doaj.org/toc/1647-2160
Revista Cubana de Oftalmología,Medicine: Ophthalmology,0864-2176,1561-3070,https://doaj.org/toc/0864-2176
Revista Letra Capital,Language and Literature: Philology. Linguistics,,2448-4482,https://doaj.org/toc/2448-4482
Journal of Nepal Medical Association,Medicine: Medicine (General),0028-2715,1815-672X,https://doaj.org/toc/0028-2715
International Review of Social Psychology                          ,Philosophy. Psychology. Religion: Psychology,,2397-8570,https://doaj.org/toc/2397-8570
Archives of Endocrinology and Metabolism,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the endocrine glands. Clinical endocrinology,2359-3997,2359-4292,https://doaj.org/toc/2359-3997
Revista Cubana de Cirugía,Medicine: Surgery,0034-7493,1561-2945,https://doaj.org/toc/0034-7493
Revista Virtual de Posgrado de la Facultad de Medicina de la Universidad Nacional de Itapua,Medicine,,2415-5780,https://doaj.org/toc/2415-5780
Orbis Tertius,Language and Literature: Literature (General),,1851-7811,https://doaj.org/toc/1851-7811
Journal of the Scientific Society,Medicine,0974-5009,2278-7127,https://doaj.org/toc/0974-5009
Brain Circulation,"Medicine: Medicine (General): Medical technology
Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system",,2455-4626,https://doaj.org/toc/2455-4626
Journal of Clinical and Preventive Cardiology,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the circulatory (Cardiovascular) system,2250-3528,,https://doaj.org/toc/2250-3528
Disertaciones,"Language and Literature: Philology. Linguistics: Communication. Mass media
Social Sciences",,1856-9536,https://doaj.org/toc/1856-9536
Literatura em Debate,Language and Literature,,1982-5625,https://doaj.org/toc/1982-5625
Manuscrítica,"Language and Literature: Philology. Linguistics
Language and Literature: Literature (General)",1415-4498,2596-2477,https://doaj.org/toc/1415-4498
Communiquer                            Communiquer: Revue de Communication Sociale et Publique,Language and Literature: Philology. Linguistics: Communication. Mass media,,2368-9587,https://doaj.org/toc/2368-9587
"Swiss Archives of Neurology, Psychiatry and Psychotherapy                            Schweizer Archiv für Neurologie, Psychiatrie und Psychotherapie = Archives suisses de neurologie, psychiatrie et psychothérapie",Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry,2297-6981,2297-7007,https://doaj.org/toc/2297-6981
Journal of Functional Morphology and Kinesiology                          ,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the musculoskeletal system,,2411-5142,https://doaj.org/toc/2411-5142
Primary and Hospital Care                            Allgemeine Innere Medizin,"Medicine: Medicine (General)
Medicine: Internal medicine",2297-7155,2297-7163,https://doaj.org/toc/2297-7155
Primary and Hospital Care                            Médecine Interne Générale,"Medicine: Medicine (General)
Medicine: Internal medicine",2297-7171,2297-721X,https://doaj.org/toc/2297-7171
Kwartalnik Nauk o Mediach,Language and Literature: Philology. Linguistics: Communication. Mass media,,2392-103X,https://doaj.org/toc/2392-103X
The European Journal of Humour Research                            EJHR,Language and Literature,,2307-700X,https://doaj.org/toc/2307-700X
Ruch Biblijny i Liturgiczny                            The Biblical and Liturgical Movement,"Philosophy. Psychology. Religion: Practical Theology
Philosophy. Psychology. Religion: Doctrinal Theology",0209-0872,2391-8497,https://doaj.org/toc/0209-0872
Indian Journal of Urology,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the genitourinary system. Urology,0970-1591,1998-3824,https://doaj.org/toc/0970-1591
